GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
TW3,com.projet.tw3.servlet,FormationByStateServlet,118,0,8,0,26,0,9,0,5,0
TW3,com.projet.tw3.servlet,AddEtablissement,101,0,2,0,28,0,6,0,5,0
TW3,com.projet.tw3.model,FormByStateEntity,9,0,0,0,4,0,1,0,1,0
TW3,com.projet.tw3.model,EntrepriseEntity,107,0,0,0,43,0,18,0,18,0
TW3,com.projet.tw3.model,CursusEntity,29,0,0,0,13,0,6,0,6,0
TW3,com.projet.tw3.model,DataSourceFactory.DriverType,38,0,0,0,2,0,4,0,4,0
TW3,com.projet.tw3.model,MoyenneEntity,29,0,0,0,13,0,6,0,6,0
TW3,com.projet.tw3.model,AncienEtudEntity,83,0,0,0,35,0,18,0,18,0
TW3,com.projet.tw3.model,DAO,274,0,36,0,39,0,21,0,3,0
TW3,com.projet.tw3.model,AeffectueEntity,43,0,0,0,18,0,9,0,9,0
TW3,com.projet.tw3.model,SpecialiteEntity,29,0,0,0,13,0,6,0,6,0
TW3,com.projet.tw3.model,EtablissementEntity,94,0,0,0,38,0,16,0,16,0
TW3,com.projet.tw3.model,FormationEntity,81,0,0,0,33,0,14,0,14,0
TW3,com.projet.tw3.model,StatutEntity,29,0,0,0,13,0,6,0,6,0
TW3,com.projet.tw3.model,PosteEntity,73,0,0,0,30,0,15,0,15,0
TW3,com.projet.tw3.model,DAOException,4,0,0,0,2,0,1,0,1,0
TW3,com.projet.tw3.model,DataSourceFactory,26,0,0,0,9,0,3,0,3,0
TW3,com.projet.tw3.model,RegionEntity,29,0,0,0,13,0,6,0,6,0
